variable,label,unique_values,variable_type
m1b22a,"In last mo, did you and BF visit with friends?",5,categorical
m1b22b,"In last mo, did you and BF go out for entertainment (movie,sport)?",5,categorical
m1b22c,"In last mo, did you and BF ate out in a restaurant?",5,categorical
m1b22d,"In last mo, did you and BF help each other solve a problem?",5,categorical
m1b23a,"In last mo, how often did you and BF disagree on money?",6,categorical
m1b23b,"In last mo, how often did you and BF disagree on spending time?",6,categorical
m1b23c,"In last mo, how often did you and BF disagree on sex?",7,categorical
m1b23d,"In last mo, how often did you and BF disagree on pregnancy?",6,categorical
m1b23e,"In last mo, how often did you and BF disagree on drug/alco use?",6,categorical
m1b23f,"In last mo, how often did you and BF disagree on being faithful?",6,categorical
m1b24a,If you were not married to BF how different your life be? financial security?,9,categorical
m1b24b,"How life diff if NOT married BF, overall happiness?",9,categorical
m1b24c,"How life diff if NOT married BF, your freedom?",9,categorical
m1b24d,"How life diff if NOT married BF, control over money?",9,categorical
m1b24e,"How life diff if NOT married BF, your sex life?",10,categorical
m1b24f,"How life diff if NOT married BF, w/parents?",11,categorical
m1b25a,How often is BF fair and willing to compromise?,1,categorical
m1b25b,How often does BF hit or slaps you when he is angry?,1,categorical
m1b25c,How often does BF expresses affection or love for you?,1,categorical
m1b25d,How often does BF insults or criticized you or your ideas?,1,categorical
m1b25e,How often does BF encourages you or help you do things that are imprt to you?,1,categorical
m1b26,"After you found out you were pregnant,how did your relationship with BF changed?",8,categorical
m1b27,"When you found out you were pregnant, did you think about having an abortion?",6,categorical
m1b28,Did BF suggest that you have an abortion?,7,categorical
cm1relf,Constructed-Household Relationship-mother,9,categorical
cm1marf,Constructed - Is respondent married?,3,categorical
cm1cohf,Constructed - Is mother cohabiting with baby's father - not including marrieds?,4,categorical
m1c1a,How imp is it for BF to provide regular financial support to children?,6,categorical
m1c1b,How imp is it for BF to teach B about life?,6,categorical
m1c1c,How imp is it for BF to provide direct care to B,6,categorical
m1c1d,How imp is it for BF to show love and affection to the child?,5,categorical
m1c1e,How imp is it for BF to provide protection for child?,6,categorical
m1c1f,How imp is it for BF to serve as authority figure and discipline the child?,6,categorical
m1c2,Which of the statements above (Q. c1a-c1f) is most important to you?,10,categorical
m1c2a,Which of the statements above (Q. c1a-c1f) is least imprtant to you?,10,categorical
m1c3a,If BF provides fin. supp. to BM should he have the right to see the child?,5,categorical
m1c3b,If BF provides fin. supp. to BM should he make decisions about the child?,5,categorical
m1c4a,"If BF can afford fin. supp. but doesn't,should he have the right to see child?",6,categorical
m1c4b,"If BF can afford fin. supp. but doesn't,should he make decisions about child?",6,categorical
m1c5a,If BF can't afford to provide fin. supp. should he have the right to see child?,6,categorical
m1c5b,If BF can't afford to provide fin. supp. should he have right to make decisions?,6,categorical
m1c6,"If BM has a new partner,should BF be required to provide fin. supp.?",5,categorical
m1c7,"If BF has new baby w/another, should he be required to support other children?",5,categorical
m1d1a,The main advantage of marriage is financial security?,8,categorical
m1d1b,There are more advantages to being single than to being married?,8,categorical
m1d1c,A single mother can bring up a child as well as a married couple?,8,categorical
m1d1d,It is better for a couple to get married than just live together?,8,categorical
m1d1e,It is better for children if their parents are married?,8,categorical
m1d1f,Living together is just the same as being married?,8,categorical
m1d2a,"How imp for successful marriage, have same friends?",7,categorical
m1d2b,"How imp for successful marriage, husband has steady job?",7,categorical
m1d2c,"How imp for successful marriage, wife has steady job?",7,categorical
m1d2d,"How imp for successful marriage, both same race/ethnicity?",7,categorical
m1d2e,"How imp for successful marriage, have good sex?",7,categorical
m1d2f,"How imp for successful marriage, share same religion?",7,categorical
m1d2g,"How imp for successful marriage, both emotionally mature?",7,categorical
m1d3a,"The important decisions in the family should be done by the man, Ag/Dis?",7,categorical
m1d3b,"Parents should stay togthr for the children even if they don't get along,Ag/Dis?",7,categorical
m1d3c,"It is better if husb. earns the main living and woman cares for family, Ag/Dis?",7,categorical
m1d3d,"In dating, a man is largely out to take advantage of a woman, Ag/Dis?",8,categorical
m1d3e,"Men cannot be trusted to be faithful, Ag/Dis?",8,categorical
m1d3f,"More important for man to spend time with his family than to work a lot, Ag/Dis?",7,categorical
m1d3g,"Fathers play more imp role in raising boys than girls, Ag/Dis?",7,categorical
m1e1b1,People who currently live in your HH - 1st relationship?,13,categorical
m1e1b2,People who currently live in your HH - 2nd relationship?,10,categorical
m1e1b3,People who currently live in your HH - 3rd relationship?,10,categorical
m1e1b4,People who currently live in your HH - 4th relationship?,10,categorical
m1e1b5,People who currently live in your HH - 5th relationship?,10,categorical
m1e1b6,People who currently live in your HH - 6th relationship?,10,categorical
m1e1b7,People who currently live in your HH - 7th relationship?,8,categorical
m1e1b8,People who currently live in your HH - 8th relationship?,7,categorical
m1e1c1,People who currently live in your HH - 1st gender?,6,categorical
m1e1c2,People who currently live in your HH - 2nd gender?,5,categorical
m1e1c3,People who currently live in your HH - 3rd gender?,5,categorical
m1e1c4,People who currently live in your HH - 4th gender?,5,categorical
m1e1c5,People who currently live in your HH - 5th gender?,5,categorical
m1e1c6,People who currently live in your HH - 6th gender?,5,categorical
m1e1c7,People who currently live in your HH - 7th gender?,5,categorical
m1e1c8,People who currently live in your HH - 8th gender?,5,categorical
m1e1d1,People who currently live in your HH - 1st age?,96,continuous
m1e1d2,People who currently live in your HH - 2nd age?,78,continuous
m1e1d3,People who currently live in your HH - 3rd age?,61,continuous
m1e1d4,People who currently live in your HH - 4th age?,45,continuous
m1e1d5,People who currently live in your HH - 5th age?,37,continuous
m1e1d6,People who currently live in your HH - 6th age?,33,continuous
m1e1d7,People who currently live in your HH - 7th age?,24,continuous
m1e1d8,People who currently live in your HH - 8th age?,20,unknown
m1e1e1,People who currently live in your HH - 1st employment?,7,categorical
m1e1e2,People who currently live in your HH - 2nd employment?,6,categorical
m1e1e3,People who currently live in your HH - 3rd employment?,5,categorical
m1e1e4,People who currently live in your HH - 4th employment?,6,categorical
m1e1e5,People who currently live in your HH - 5th employment?,5,categorical
m1e1e6,People who currently live in your HH - 6th employment?,5,categorical
m1e1e7,People who currently live in your HH - 7th employment?,5,categorical
m1e1e8,People who currently live in your HH - 8th employment?,5,categorical
m1e2,Were you living with both of your bio parents at age 15?,6,categorical
m1e3a,"During your preg, did you receive fin. supp. from anyone besides BF?",5,categorical
m1e3b1,"Who gave you fin. supp. during preg, your mother?",5,categorical
m1e3b2,"Who gave you fin. supp. during preg, your father?",5,categorical
m1e3b3,"Who gave you fin. supp. during preg, other relatives.?",5,categorical
m1e3b4,"Who gave you fin. supp. during preg, (BF) family?",5,categorical
m1e3b5,"Who gave you fin. supp. during preg, other?",8,categorical
m1e3c,"During preg, did you receive a place to live?",4,categorical
m1e3d1,"Who gave you a place to live, your mother?",6,categorical
m1e3d2,"Who gave you a place to live, your father?",6,categorical
m1e3d3,"Who gave you a place to live, other relatives?",6,categorical
m1e3d4,"Who gave you a place to live, (BF) family?",6,categorical
m1e3d5,"Who gave you a place to live, other?",8,categorical
m1e3e,"During preg, did you receive child care?",5,categorical
m1e3f1,"Who gave you child care, your mother?",6,categorical
m1e3f2,"Who gave you child care, your father?",6,categorical
m1e3f3,"Who gave you child care, other relatives?",6,categorical
m1e3f4,"Who gave you child care, (BF) family?",6,categorical
m1e3f5,"Who gave you child care, other?",8,categorical
m1e4a,"Next yr, would someone in family loan you $200?",5,categorical
m1e4b,"Next yr, would someone in family give place to live?",5,categorical
m1e4c,"Next yr, would someone help you with babysitting/child care?",5,categorical
cm1adult,Constructed - # of adults 18 or older in the HH,11,continuous
cm1kids,Constructed - # of children under 18 in HH,11,continuous
cm1gdad,Constructed - Baby's grandfather in the HH,4,categorical
cm1gmom,Constructed - Baby's grandmother in the HH,4,categorical
m1f1a,How long have you lived in neighborhood - Years?,42,continuous
m1f1b,How long have you lived in neighborhood - months?,17,continuous
m1f1c,How long have you lived in neighborhood - all my life?,4,categorical
m1f2,Is the home/apartment were you currently reside owned/rented?,6,categorical
m1f3,Do you live in a public housing project?,5,categorical
m1f4,Is the fed/state/local government helping to pay for your rent?,6,categorical
m1f5,How safe are the streets around your home at night?,7,categorical
m1f6,About how often do you attend religious services?,8,categorical
m1f7,What is your religious preference?,21,unknown
m1f8,Can mother receive welfare if she is married and living with husband?,5,categorical
m1f9,Can mother receive welfare if she is not married and lives with BF?,5,categorical
m1f10a,How long in total can a mother receive welfare (years)?,23,continuous
m1f10b,How long in total can a mother receive welfare (months)?,18,continuous
m1f11a,How long can a mother receive welfare before being required to work?-years,16,continuous
m1f11b,How long can a mother receive welfare before being required to work?-months,19,continuous
m1f12,"Can judge make a father pay child support, even if he wanted an abortion?",5,categorical
m1f13,Can blood test prove whether a man is really the father of the child?,5,categorical
m1f14,Has anyone in the hospital given you information about est. paternity?,5,categorical
m1f15,"If BF doesn't want to marry the mother, could he be required to pay child supp.?",8,categorical
m1g1,How is your health?,7,categorical
m1g2,"During the preg, how often did you drink alcohol?",8,categorical
m1g3,"During the preg, how often did you use drugs?",1,categorical
m1g4,"During the preg, how many cigarettes did you smoke?",7,categorical
m1g5,In past yr has alc/drugs interfered with your work/relationships?,4,categorical
m1g6,Have you ever sought help or been treated for drug/alc problems?,4,categorical
m1h2,Were you born in the U.S.?,4,categorical
m1h2b,Geographical region of mother's birth place,9,categorical
m1h2c,In what year did you first come to the US to live?,28,categorical
m1h3,What is your race?,9,unknown
m1h3a,Are you of Hispanic or Latino origin or descent?,5,categorical
m1h3b,"Are you Mexican, Puerto Rican, Cuban or other Hispanic?",11,categorical
cm1edu,Mother baseline education (own report),6,categorical
cm1ethrace,Mother race (baseline own report),6,categorical
m1i1,What is the highest grade/years of school that you have completed?,11,categorical
m1i2a,"When you last worked, how many hours per week did you work?",73,continuous
m1i2b,About how much did you earn?,2236,continuous
m1i2c,Was that amount per hour/day/week/month/year/other?,12,categorical
m1i2d,Do you expect to work during next year?,6,categorical
m1i2d1,Int Chk: Is father unknown?,5,categorical
m1i2i,In what mo did you last work 2 weeks or more at a regular job?,1,continuous
m1i2ii,In what yr did you last work 2 weeks or more at a regular job?,28,continuous
m1i2iii,Never worked 2 consecutive weeks?,5,categorical
m1i3,What is the highest grade/years of school that BF have completed?,14,categorical
m1i4,What is BF's race?,10,categorical
m1i4a,Is BF of Hispanic/Latino origin or descent?,7,categorical
m1i4b,"Is BF Mexican, Puerto Rican, Cuban or other Hispanic?",11,categorical
m1i6,"What was BF doing most of last week (working, going to school,else)?",12,categorical
m1i6a1,In what mo did BF last work 2 weeks or more at a regular job?,1,categorical
m1i6a2,In what yr did BF last work 2 weeks or more at a regular job?,15,continuous
m1i6a3,BF never workd 2 consecutive weeks?,3,categorical
m1i7,Does BF engage in any activities other than regular job to generate income?,7,categorical
m1i8,Does BF have physical/health condition that limits amount of work he can do?,7,categorical
m1i9,Does BF have a problem keeping a job/friends because of drugs/alc use?,7,categorical
m1i10,Int chk: Is BF married or living with baby's mother?,7,categorical
m1i11,Where does BF live most of the time?,11,unknown
m1j1a,In last yr did you have income from earnings?,6,categorical
m1j1b,In last yr did you have income from public assistance/welfare/food stamps?,6,categorical
m1j1c,In last yr did you have income from Unem.ins/wkmn comp/disability/SS?,6,categorical
m1j1d,In last yr did you have income from from family/friends?,6,categorical
m1j1e,In last yr did you have no income?,6,categorical
m1j2a,"In last 12 mo, about how much money did you receive from earnings?",2686,categorical
m1j2b,"In 12 mo, about how much money did you receive from pub. assis/welfare?",1341,categorical
m1j2c,"In last 12 mo, about how much money did you receive from unemployment/SS/disabil",372,categorical
m1j2d,"In last 12 mo, about how much money did you receive from family/friends?",1151,categorical
mx1j2,"In the last 12 months, about how much money did you receive from (J1)?",2,categorical
m1j3,What was your total household income before taxes in the past 12 months,13,categorical
m1j4,At the end of the month how much money leftover do you usually have?,8,categorical
m1j5,Do you own a car?,5,categorical
cm1hhinc,Constructed - Household income (with imputed values),3922,continuous
cm1hhimp,Constructed - Flag variable for household income imputation,5,categorical
cm1inpov,Constructed - Poverty ratio - mother's household income/poverty threshold,3947,continuous
cm1povca,Constructed - Poverty categories,6,categorical
cm1finjail,"Constructed - mother report, father in jail at her baseline interview",3,unknown
cmf1finjail,"Constructed - mother and father reports, father in jail at either baseline inter",3,unknown
cm1span,Constructed- Was the mother interviewed in spanish?,4,categorical
m1natwt_rep1,Mother baseline national replicate weight no. 1,0,unknown
m1natwt_rep2,Mother baseline national replicate weight no. 2,0,unknown
m1natwt_rep3,Mother baseline national replicate weight no. 3,0,unknown
m1natwt_rep4,Mother baseline national replicate weight no. 4,0,unknown
m1natwt_rep5,Mother baseline national replicate weight no. 5,0,unknown
m1natwt_rep6,Mother baseline national replicate weight no. 6,0,unknown
m1natwt_rep7,Mother baseline national replicate weight no. 7,0,unknown
m1natwt_rep8,Mother baseline national replicate weight no. 8,0,unknown
m1natwt_rep9,Mother baseline national replicate weight no. 9,0,unknown
m1natwt_rep10,Mother baseline national replicate weight no. 10,0,unknown
m1natwt_rep11,Mother baseline national replicate weight no. 11,0,unknown
m1natwt_rep12,Mother baseline national replicate weight no. 12,0,unknown
m1natwt_rep13,Mother baseline national replicate weight no. 13,0,unknown
m1natwt_rep14,Mother baseline national replicate weight no. 14,0,unknown
m1natwt_rep15,Mother baseline national replicate weight no. 15,0,unknown
m1natwt_rep16,Mother baseline national replicate weight no. 16,0,unknown
m1natwt_rep17,Mother baseline national replicate weight no. 17,0,unknown
m1natwt_rep18,Mother baseline national replicate weight no. 18,0,unknown
m1natwt_rep19,Mother baseline national replicate weight no. 19,0,unknown
m1natwt_rep20,Mother baseline national replicate weight no. 20,0,unknown
m1natwt_rep21,Mother baseline national replicate weight no. 21,0,unknown
m1natwt_rep22,Mother baseline national replicate weight no. 22,0,unknown
m1natwt_rep23,Mother baseline national replicate weight no. 23,0,unknown
m1natwt_rep24,Mother baseline national replicate weight no. 24,0,unknown
m1natwt_rep25,Mother baseline national replicate weight no. 25,0,unknown
m1natwt_rep26,Mother baseline national replicate weight no. 26,0,unknown
m1natwt_rep27,Mother baseline national replicate weight no. 27,0,unknown
m1natwt_rep28,Mother baseline national replicate weight no. 28,0,unknown
m1natwt_rep29,Mother baseline national replicate weight no. 29,0,unknown
m1natwt_rep30,Mother baseline national replicate weight no. 30,0,unknown
m1natwt_rep31,Mother baseline national replicate weight no. 31,0,unknown
m1natwt_rep32,Mother baseline national replicate weight no. 32,0,unknown
m1natwt_rep33,Mother baseline national replicate weight no. 33,0,unknown
m1natwtx_rep1,Mother baseline national replicate weight no. 1 (excluding one city),0,unknown
m1natwtx_rep2,Mother baseline national replicate weight no. 2 (excluding one city),0,unknown
m1natwtx_rep3,Mother baseline national replicate weight no. 3 (excluding one city),0,unknown
m1natwtx_rep4,Mother baseline national replicate weight no. 4 (excluding one city),0,unknown
m1natwtx_rep5,Mother baseline national replicate weight no. 5 (excluding one city),0,unknown
m1natwtx_rep6,Mother baseline national replicate weight no. 6 (excluding one city),0,unknown
m1natwtx_rep7,Mother baseline national replicate weight no. 7 (excluding one city),0,unknown
m1natwtx_rep8,Mother baseline national replicate weight no. 8 (excluding one city),0,unknown
m1natwtx_rep9,Mother baseline national replicate weight no. 9 (excluding one city),0,unknown
m1natwtx_rep10,Mother baseline national replicate weight no. 10 (excluding one city),0,unknown
m1natwtx_rep11,Mother baseline national replicate weight no. 11 (excluding one city),0,unknown
m1natwtx_rep12,Mother baseline national replicate weight no. 12 (excluding one city),0,unknown
m1natwtx_rep13,Mother baseline national replicate weight no. 13 (excluding one city),0,unknown
m1natwtx_rep14,Mother baseline national replicate weight no. 14 (excluding one city),0,unknown
m1natwtx_rep15,Mother baseline national replicate weight no. 15 (excluding one city),0,unknown
m1natwtx_rep16,Mother baseline national replicate weight no. 16 (excluding one city),0,unknown
m1natwtx_rep17,Mother baseline national replicate weight no. 17 (excluding one city),0,unknown
m1natwtx_rep18,Mother baseline national replicate weight no. 18 (excluding one city),0,unknown
m1natwtx_rep19,Mother baseline national replicate weight no. 19 (excluding one city),0,unknown
m1natwtx_rep20,Mother baseline national replicate weight no. 20 (excluding one city),0,unknown
m1natwtx_rep21,Mother baseline national replicate weight no. 21 (excluding one city),0,unknown
m1natwtx_rep22,Mother baseline national replicate weight no. 22 (excluding one city),0,unknown
m1natwtx_rep23,Mother baseline national replicate weight no. 23 (excluding one city),0,unknown
m1natwtx_rep24,Mother baseline national replicate weight no. 24 (excluding one city),0,unknown
m1natwtx_rep25,Mother baseline national replicate weight no. 25 (excluding one city),0,unknown
m1natwtx_rep26,Mother baseline national replicate weight no. 26 (excluding one city),0,unknown
m1natwtx_rep27,Mother baseline national replicate weight no. 27 (excluding one city),0,unknown
m1natwtx_rep28,Mother baseline national replicate weight no. 28 (excluding one city),0,unknown
m1natwtx_rep29,Mother baseline national replicate weight no. 29 (excluding one city),0,unknown
m1natwtx_rep30,Mother baseline national replicate weight no. 30 (excluding one city),0,unknown
m1natwtx_rep31,Mother baseline national replicate weight no. 31 (excluding one city),0,unknown
m1natwtx_rep32,Mother baseline national replicate weight no. 32 (excluding one city),0,unknown
m1natwtx_rep33,Mother baseline national replicate weight no. 33 (excluding one city),0,unknown
m1citywt_rep1,Mother baseline city replicate weight no. 1,1753,continuous
m1citywt_rep2,Mother baseline city replicate weight no. 2,1757,continuous
m1citywt_rep3,Mother baseline city replicate weight no. 3,1767,continuous
m1citywt_rep4,Mother baseline city replicate weight no. 4,1763,continuous
m1citywt_rep5,Mother baseline city replicate weight no. 5,1769,continuous
m1citywt_rep6,Mother baseline city replicate weight no. 6,1748,continuous
m1citywt_rep7,Mother baseline city replicate weight no. 7,1764,continuous
m1citywt_rep8,Mother baseline city replicate weight no. 8,1769,continuous
m1citywt_rep9,Mother baseline city replicate weight no. 9,1761,continuous
m1citywt_rep10,Mother baseline city replicate weight no. 10,1731,continuous
fathid1,Encrypted father's ID,1,continuous
f1intmon,Father interview month,1,categorical
f1intyr,Father interview year,0,unknown
f1lenhr,What was the total length of interview - Hours,12,continuous
f1lenmin,What was the total length of interview - Minutes,61,continuous
cf1twoc,Constructed - Two cities flag,2,categorical
cf1fint,Constructed - Was father interviewed at baseline?,2,categorical
cf1natsm,Constructed - Baseline national sample flag,2,unknown
f1natwt,Father baseline national weight,0,unknown
cf1natsmx,Constructed - Baseline national sample flag (excluding one city),0,unknown
f1natwtx,Father baseline national weight (excluding one city),0,unknown
cf1citsm,Constructed - Baseline city sample flag,2,unknown
f1citywt,Father baseline city sample weight (20-cities population),1635,continuous
f1a2,Were you present at the birth?,5,categorical
f1a3,Have you held baby(ies)?,5,categorical
f1a4,Will the baby(ies) have your last name?,5,categorical
f1a4a,Did you want the baby(ies) to have your last name?,7,categorical
f1a5,Will your name be on the birth certificate?,5,categorical
f1a5a,Did you want your name on the birth certificate?,6,categorical
f1a6,Do you have other biological children?,5,categorical
f1a6a,How many other biological children?,17,continuous
f1a7,Who (does/do) the (baby/babies) look like?,12,categorical
cf1age,Constructed - Father's age (years),37,continuous
f1b1a,How many years did you know each other before (baby's mother) got pregnant?,35,continuous
f1b1b,How many months did you know each other before (baby's mother) got pregnant?,1,continuous
